tokenized,term_count
,1496212297
0,365671331
1,152244923
,97528912
2,91665434
3,67152795
4,56517476
5,43983617
6,36997661
7,31397246
8,28409111
10,28043019
9,25056408
n,23681819
12,18885646
11,18702018
0.0,16917550
13,15876613
14,15202457
15,14526014
0.00,14006910
16,13701788
20,12603677
18,11888227
17,11791597
19,10668079
25,10578904
21,10175387
22,9957780
24,9825562
23,9442834
30,8816528
26,8424601
27,8182901
date,7958565
r,7943620
28,7897291
000,7255429
29,7185666
31,6682672
yes,6665877
32,6540501
33,6285941
35,5940996
34,5883827
40,5859474
36,5758088
name,5712246
l,5684420
100,5634083
50,5617408
title,5449900
g,5127833
w,5121392
38,5071719
37,4978747
f,4934298
0 0,4719730
d,4657617
c,4602443
39,4592452
m,4511648
42,4478120
60,4447812
total,4372459
41,4346798
45,4286854
none,4247201
44,4175985
43,4138002
location,4117267
show,4050797
description,3982078
48,3934311
na,3874285
46,3871800
90,3769926
55,3736339
47,3683955
p,3623940
h,3600883
x,3572808
list,3537017
500,3525554
49,3512591
80,3479803
52,3453057
70,3397977
51,3326707
54,3321123
0.1,3285921
56,3209588
53,3195380
s,3191529
2012,3180143
e,3177247
58,3146864
background check,3123865
57,3119844
year,3067336
type,3063963
75,3048069
so,3035719
65,2985838
59,2981582
64,2972593
details,2944274
72,2915341
2013,2898835
o,2888981
1.0,2884525
62,2877449
61,2844607
66,2791341
63,2789687
67,2782176
views,2773117
age,2756624
68,2741416
71,2728494
rating,2711576
2011,2710091
85,2705128
200,2687930
69,2679592
73,2661984
b,2593313
condition,2587015
0.2,2559921
74,2538659
unknown,2535576
76,2533338
1.000,2514591
position,2492488
77,2418616
price,2409627
250,2407170
team,2402984
82,2397047
78,2383562
usa,2383084
2010,2355654
time,2302222
comments,2298629
79,2284603
available,2273857
81,2247532
0.000,2199509
t,2188485
abs,2180269
2007,2158700
subject,2152856
rank,2147141
84,2110580
0.5,2107097
0.3,2103139
publication number,2099471
2009,2086596
owned,2085496
83,2085387
cover,2081855
88,2064717
date purchased,2048661
purchase location,2048423
86,2047539
2008,2037385
buy,2021373
0.01,2017344
asin,2015125
cg,2008188
actor,1997348
87,1987483
bb,1985287
add,1970982
pts,1956316
checkbox,1941062
notes notes private,1939977
my rating 1 5 stars2 5 stars3 5 stars4 5 stars5 5 stars add shelves,1939977
actions view,1939977
author,1938066
99,1922803
89,1918151
recommender none,1909753
2006,1901249
publisher,1896567
download,1882601
95,1881011
pos,1873905
view,1872842
93,1861507
91,1846941
pw,1843730
92,1839307
0.4,1831536
94,1830542
comments 0,1821319
96,1815212
united states,1815099
y,1775303
mo,1755423
votes 0,1753794
more info,1731821
98,1723003
male,1721463
97,1717420
333,1704251
2.0,1686364
1 1,1668044
hr,1663247
country,1658084
notes,1635970
stl,1633288
0.6,1600224
0 1,1583136
1.1,1582617
mlb,1576888
export citation,1567030
score,1557248
fg,1547463
2014,1544789
2b,1536029
status,1529668
sell,1529251
2005,1527924
avg,1515105
120,1513500
0.7,1512752
0.8,1499409
bibtex endnote refman,1498910
3b,1485471
110,1478807
format,1475918
1.5,1460760
publication date,1460737
date started set,1457752
weight,1453115
times read 1,1447271
2004,1441857
city,1436863
i,1435647
sr,1429981
101,1429730
size,1428121
1.2,1418357
comment,1413199
3.0,1410563
min,1409883
english,1407414
999,1397640
100.0,1393845
ca,1386696
0 0 0,1384706
other,1380640
105,1379313
150,1373841
ab,1373314
dimensions,1362468
category,1347364
2000,1345092
111,1344984
open,1344861
102,1339091
1 2,1338965
0.9,1333602
player,1333011
user,1332695
125,1329040
103,1319605
1 0,1316599
normal,1311049
9.0,1307937
400,1302727
300,1301450
ft,1299061
1.3,1297334
review none,1296508
2003,1290996
104,1290704
pa,1280837
2002,1279106
from,1278660
points,1277019
fr,1273810
"1,000",1269664
108,1268623
new,1266225
language,1264022
event,1260885
win,1257149
112,1246858
106,1242561
al,1240725
view details,1235700
fb,1225855
nl,1209594
2.5,1209013
filing date,1204125
107,1202034
109,1192347
runs,1189043
1.4,1187256
pit,1177261
115,1176698
160,1174403
4.0,1170781
height,1168219
grant,1165022
sf,1163009
private,1162671
0.02,1162329
3p,1149523
114,1147070
state,1146808
